timestamp,status,metric
SYNCING_153s,没人,6.4042
SYNCING_154s,没人,6.2622
SYNCING_156s,没人,6.1619
SYNCING_159s,没人,6.2445
SYNCING_160s,有人,6.1228
SYNCING_161s,有人,6.0287
SYNCING_163s,有人,6.2061
SYNCING_166s,有人,6.2104
SYNCING_166s,有人,6.1084
SYNCING_167s,有人,5.9346
SYNCING_169s,有人,5.9560
SYNCING_158s,没人,5.9218
SYNCING_161s,没人,5.8825
SYNCING_162s,有人,5.8622
SYNCING_163s,有人,5.7721
SYNCING_165s,有人,5.7509
SYNCING_168s,有人,5.7759
SYNCING_168s,有人,5.6740
SYNCING_169s,有人,5.7342
SYNCING_171s,有人,5.5845
SYNCING_174s,有人,5.7388
SYNCING_175s,有人,5.9028
SYNCING_176s,有人,5.9631
SYNCING_178s,有人,5.9545
SYNCING_181s,有人,5.9505
SYNCING_181s,有人,5.9357
SYNCING_182s,有人,5.7964
SYNCING_184s,有人,5.6298
SYNCING_187s,有人,5.6213
SYNCING_188s,有人,5.7234
SYNCING_189s,有人,5.6833
