timestamp,status,metric
SYNCING_161s,没人,9.9130
SYNCING_162s,没人,9.8657
SYNCING_163s,没人,9.4381
SYNCING_165s,没人,8.9124
SYNCING_168s,有人,8.5465
SYNCING_168s,有人,8.3633
SYNCING_169s,有人,8.0444
SYNCING_171s,有人,8.0317
SYNCING_174s,有人,7.7039
SYNCING_175s,有人,7.9597
SYNCING_176s,有人,8.0090
SYNCING_178s,有人,8.0091
SYNCING_181s,有人,7.9881
SYNCING_181s,有人,7.6309
SYNCING_182s,有人,7.7799
SYNCING_184s,有人,7.7559
SYNCING_187s,有人,7.8165
SYNCING_188s,有人,7.8100
SYNCING_189s,有人,7.8248
SYNCING_191s,有人,8.5217
SYNCING_194s,有人,8.6223
SYNCING_194s,有人,8.8603
SYNCING_195s,有人,8.9807
SYNCING_197s,有人,9.2090
SYNCING_200s,有人,9.2342
SYNCING_201s,有人,9.2529
SYNCING_202s,有人,8.9254
