timestamp,status,metric
SYNCING_718s,有人,7.2558
SYNCING_721s,有人,7.3321
SYNCING_722s,有人,7.3552
SYNCING_723s,有人,7.3975
SYNCING_725s,有人,7.4198
SYNCING_728s,有人,7.4215
SYNCING_729s,有人,7.3716
SYNCING_731s,有人,7.3547
SYNCING_734s,有人,7.3778
SYNCING_735s,有人,7.3733
SYNCING_736s,有人,7.3820
SYNCING_738s,有人,7.4257
SYNCING_741s,有人,7.4433
SYNCING_741s,有人,7.4292
SYNCING_742s,有人,7.4195
SYNCING_744s,有人,7.4231
SYNCING_747s,有人,7.3576
SYNCING_748s,有人,7.3488
SYNCING_749s,有人,7.3640
SYNCING_751s,有人,7.3659
SYNCING_754s,有人,7.4024
SYNCING_754s,有人,7.3807
SYNCING_755s,有人,7.3162
SYNCING_757s,有人,7.3263
SYNCING_760s,有人,7.3119
SYNCING_761s,有人,7.3268
SYNCING_762s,有人,7.3446
SYNCING_764s,有人,7.3108
SYNCING_767s,有人,7.3169
SYNCING_767s,有人,7.2395
SYNCING_768s,有人,7.2373
SYNCING_770s,有人,7.2397
SYNCING_773s,有人,7.2564
SYNCING_774s,有人,7.1481
SYNCING_775s,有人,7.2704
SYNCING_777s,有人,7.2688
SYNCING_780s,有人,7.2680
SYNCING_780s,有人,7.2911
SYNCING_781s,有人,7.4146
SYNCING_783s,有人,7.4207
SYNCING_786s,有人,7.4195
SYNCING_787s,有人,7.4384
SYNCING_788s,有人,7.4324
SYNCING_790s,有人,7.4305
SYNCING_793s,有人,7.3376
SYNCING_793s,有人,7.2144
SYNCING_794s,有人,7.2290
SYNCING_796s,有人,7.2145
SYNCING_799s,有人,7.0595
SYNCING_800s,有人,6.9647
SYNCING_801s,有人,6.8366
SYNCING_803s,有人,6.9070
SYNCING_806s,有人,6.8957
SYNCING_806s,有人,6.8694
SYNCING_807s,有人,6.7919
SYNCING_809s,有人,6.7751
SYNCING_812s,有人,6.7311
SYNCING_813s,有人,6.6260
SYNCING_814s,有人,6.6194
SYNCING_816s,有人,6.5670
SYNCING_816s,有人,6.4737
SYNCING_819s,有人,6.3689
SYNCING_819s,有人,6.2425
SYNCING_820s,有人,6.2580
SYNCING_822s,有人,6.2601
SYNCING_825s,有人,6.2117
SYNCING_826s,有人,6.1163
SYNCING_827s,有人,6.0290
SYNCING_829s,有人,5.8694
SYNCING_832s,有人,5.5990
SYNCING_832s,有人,5.4025
SYNCING_833s,有人,5.2416
SYNCING_835s,有人,5.1061
SYNCING_838s,有人,4.9761
SYNCING_839s,有人,4.7145
SYNCING_840s,有人,4.4601
SYNCING_842s,有人,4.1845
SYNCING_845s,有人,3.9976
SYNCING_845s,有人,4.0602
SYNCING_846s,有人,3.8909
SYNCING_848s,有人,3.7535
SYNCING_851s,有人,3.6870
SYNCING_852s,有人,3.5849
SYNCING_853s,有人,3.5183
SYNCING_855s,有人,3.4815
SYNCING_858s,有人,3.3749
SYNCING_858s,有人,3.2622
SYNCING_859s,有人,3.1360
SYNCING_861s,有人,2.9734
SYNCING_864s,有人,3.0459
SYNCING_865s,有人,2.8377
SYNCING_866s,有人,2.7130
SYNCING_868s,有人,2.7432
SYNCING_871s,有人,2.6669
SYNCING_871s,有人,2.5439
SYNCING_872s,有人,2.4527
SYNCING_874s,有人,2.3050
SYNCING_877s,有人,2.2379
SYNCING_878s,有人,2.0881
SYNCING_879s,有人,1.8394
SYNCING_881s,有人,1.8217
SYNCING_884s,有人,1.8075
SYNCING_884s,有人,1.8100
SYNCING_885s,有人,1.7952
SYNCING_887s,有人,1.7901
SYNCING_890s,有人,1.7887
SYNCING_891s,有人,1.7955
SYNCING_892s,有人,1.7955
SYNCING_894s,有人,1.7387
SYNCING_897s,有人,1.8000
SYNCING_898s,有人,1.8095
SYNCING_900s,有人,1.8010
SYNCING_903s,有人,1.7988
SYNCING_904s,有人,1.7924
SYNCING_905s,有人,1.7730
SYNCING_907s,有人,1.8754
SYNCING_910s,有人,1.8889
SYNCING_910s,有人,1.9790
SYNCING_911s,有人,2.1490
SYNCING_913s,有人,2.1500
SYNCING_916s,有人,2.1284
SYNCING_917s,有人,2.1214
SYNCING_918s,有人,2.1732
SYNCING_920s,有人,2.3090
SYNCING_923s,有人,2.3204
SYNCING_923s,有人,2.3383
SYNCING_924s,有人,2.3889
SYNCING_926s,有人,2.3765
SYNCING_929s,有人,2.3841
SYNCING_930s,有人,2.3832
SYNCING_931s,有人,2.3668
SYNCING_933s,有人,2.3657
SYNCING_936s,有人,2.3566
SYNCING_936s,有人,2.3453
SYNCING_937s,有人,2.2413
SYNCING_939s,有人,2.2405
SYNCING_942s,有人,2.2368
SYNCING_943s,有人,2.1367
SYNCING_944s,有人,2.0805
SYNCING_946s,有人,2.0951
SYNCING_949s,有人,2.0971
SYNCING_950s,有人,2.1037
SYNCING_952s,有人,2.0989
SYNCING_955s,有人,2.0986
SYNCING_956s,有人,2.0841
SYNCING_957s,有人,2.0915
SYNCING_959s,有人,2.0872
SYNCING_962s,有人,2.0751
SYNCING_962s,有人,2.0795
SYNCING_963s,有人,1.9506
SYNCING_965s,有人,1.9615
SYNCING_968s,有人,1.8687
SYNCING_969s,有人,1.8861
SYNCING_970s,有人,1.9887
SYNCING_972s,有人,1.9867
SYNCING_975s,有人,1.9884
SYNCING_975s,有人,1.9845
SYNCING_976s,有人,1.9914
SYNCING_978s,有人,1.9865
